Link,ID,Brand Name,Product Name,Calories,Caffeine Blend,Creatine,Beta-Alanine,L-Theanine,L-Citrulline,L-Tyrosine,Taurine,Betaine,Citrulline Malate,Agmatine Sulfate,Nitrosigine,Theobromine,Huperzine A,Other ingredients
https://dsld.od.nih.gov/label/615,615,Precision Engineered,High Performance Creatine HPDS3,130,0,5250,0,0,0,0,1000,0,0,0,0,0,0,"Magnesium, Phosphorus, Potassium, Sodium, Sugar, Total Carbohydrates"
https://dsld.od.nih.gov/label/623,623,All American EFX,K-Otic,0,300,0,0,0,0,0,0,0,0,0,0,0,0,"Calcium Carbonate, Folate, Niacin, Psycho-Anabolic Proprietary Blend, Vitamin B12, Vitamin B6, Vitamin C"
https://dsld.od.nih.gov/label/713,713,Axis Labs,N'Gage Glacier Punch,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"2:1:1 AjiPure Instantized BCAAs, Calories from Fat, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Protein, Saturated Fat, Sugar, Total Carbohydrates, Total Fat, Vitamin B6"
https://dsld.od.nih.gov/label/775,775,Gamma Labs,Pre-Training Formula Tropical Punch,20,0,10876,0,0,0,0,0,0,0,0,0,0,0,"Acai, Antioxidant Complex, Energy Complex, Focus Complex, Niacin, Pomegranate, Sodium, Total Carbohydrates, Vitamin B12, Vitamin B6, Vitamin C, Vitamin E"
https://dsld.od.nih.gov/label/1179,1179,GNC Beyond Raw,Ravage Fruit Punch,15,0,3100,0,0,0,0,0,0,0,0,0,0,0,"Calcium, Calories from Fat, Chloride, Muscle Buffering System, N.O. Vasodilation Amplifier, Niacin, Potassium, Sodium, Sugar, Thermo Energy Intensifier, Total Carbohydrates, Total Fat, vitamin B"
https://dsld.od.nih.gov/label/1312,1312,Precision Engineered,NOS Blast Concentrate,0,100,-1,0,0,0,0,-1,0,0,0,0,0,0,"CarnoSyn, L-Arginine AKG, L-Glutamine, Performance Catalyst Blend, White Willow"
https://dsld.od.nih.gov/label/1893,1893,LG Sciences,BC + EAA Blue Raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Essential Amino Acids, L-Glutamine, L-Isoleucine, L-Leucine, L-Valine, Proprietary Blend Branched-Chain Amino Acid Blend, Recovery Agent, TOTAL AMINO ACID CONTENT"
https://dsld.od.nih.gov/label/1937,1937,Champion Nutrition,GlyProXTS Complete Stack,30,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,"Arginine AKG, Arginine Pyroglutamate, Bromelain, Calcium, Calcium AKG, Energy Blend, Enhanced Power Blend, Enhanced Transport Blend, Glucuronolactone, GlyPro Nitric Oxide Activator Matrix, Glycine-Propionyl-L-Carnitine HCl, L-Arginine, L-Carnitine, L-Glutamine, L-Histidine, L-Isoleucine, L-Leucine, L-Valine, Magnesium Oxide, Potassium Citrate, Potassium Phosphate, Sodium, Sodium Bicarbonate, Sugar, Total Carbohydrates"
https://dsld.od.nih.gov/label/1973,1973,Force Factor,Body Rush Fruit Punch,20,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,"Acetyl-L-Carnitine, Advanced 3X Nitric Oxide Booster, Arginine-Alphaketoglutarate, Arginine-Ketoisocaproate, Calcium, Calories from Fat, D-Glucose, Dicalcium Phosphate, Dimagnesium Phosphate, Dipotassium Phosphate, Disodium Phosphate, Energy Rush, Focus Enhancer, Glucose Polymers, Green Tea extract, Guarana extract, L-Arginine Monohydrate, L-Carnitine, L-Carnitine Fumarate, L-Carnitine Tartrate, L-Isoleucine, L-Leucine, L-Valine, Magnesium, Muscle Glucose Primer, Phosphorus, Potassium, Rapid Hydration Surge, Riboflavin, Sodium, Strength Blend, Sugar, Thiamine, Total Carbohydrates, Vitamin B12, Vitamin B6"
https://dsld.od.nih.gov/label/1974,1974,Force Factor,Body Rush Strawberry Kiwi,20,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,"Acetyl-L-Carnitine, Advanced 3X Nitric Oxide Booster, Arginine-Alphaketoglutarate, Arginine-Ketoisocaproate, Calcium, Calories from Fat, D-Glucose, Dicalcium Phosphate, Dimagnesium Phosphate, Dipotassium Phosphate, Disodium Phosphate, Energy Rush, Focus Enhancer, Glucose Polymers, Green Tea extract, Guarana extract, L-Carnitine, L-Carnitine Fumarate, L-Carnitine Tartrate, L-Isoleucine, L-Leucine, L-Valine, Magnesium, Muscle Glucose Primer, Phosphorus, Potassium, Rapid Hydration Surge, Riboflavin, Sodium, Strength Blend, Sugar, Thiamine, Total Carbohydrates, Vitamin B12, Vitamin B6"
