Link,ID,Brand Name,Product Name,Calories,Caffeine Blend,Creatine,Beta-Alanine,L-Theanine,L-Citrulline,L-Tyrosine,Taurine,Betaine,Citrulline Malate,Agmatine Sulfate,Nitrosigine,Theobromine,Huperzine A
https://dsld.od.nih.gov/label/278031,278031,'Merica Labz,F-Bomb Firecracker Candy,0,400,0,6400,0,0,1000,0,0,0,0,1500,0,0
https://dsld.od.nih.gov/label/305210,305210,Bucked Up,Mother Bucker Franken Juice,5,100,0,6400,0,4000,1500,0,0,0,0,1500,100,0.2
https://dsld.od.nih.gov/label/316263,316263,'Merica Labz,F-Bomb Cat Scratch Fever,0,400,0,6400,0,0,1000,0,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/316264,316264,'Merica Labz,F-Bomb Fruit Cocktail,0,400,0,6400,0,0,1000,0,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/316265,316265,'Merica Labz,F-Bomb F Your Feelings,0,400,0,6400,0,0,1000,0,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/316266,316266,'Merica Labz,F-Bomb Upside Down Pineapple,0,400,0,6400,0,0,1000,0,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/327219,327219,Merica Labz,F-Bomb Sour Gummy Snakes,0,400,0,6400,0,0,1000,0,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/327302,327302,'Merica Labz,F-Bomb Sour Pucker UP Buttercup,0,400,0,6400,0,0,1000,0,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/328418,328418,Bucked Up,Mother Bucker Rocket Pop,5,100,0,6400,0,4000,1500,0,0,0,0,1500,100,0.2
https://dsld.od.nih.gov/label/328419,328419,Bucked Up,Mother Bucker Miami,5,100,0,6400,0,4000,1500,0,0,0,0,1500,100,0.2
https://dsld.od.nih.gov/label/328420,328420,Bucked Up,Mother Bucker Musclehead Mango,5,100,0,6400,0,4000,1500,0,0,0,0,1500,100,0.2
https://dsld.od.nih.gov/label/328421,328421,Bucked Up,Mother Bucker Gym-Junkie Juice,5,100,0,6400,0,4000,1500,0,0,0,0,1500,100,0.2
https://dsld.od.nih.gov/label/328900,328900,Bucked Up,Mother Bucker Grape Frost,10,100,0,6400,0,4000,1500,0,0,0,0,1500,100,0.2
https://dsld.od.nih.gov/label/333980,333980,Bucked Up,Mother Bucker Ninja Nectar,5,300,0,6400,0,4000,1500,0,0,0,0,1500,100,0.2
https://dsld.od.nih.gov/label/313189,313189,RAW,Thuper Thavage Pre-Workout White Cherry,5,400,5000,6200,200,6000,0,2000,0,0,1000,0,100,0
https://dsld.od.nih.gov/label/241746,241746,DY Nutrition,Blood & Guts Blueberry,0,13,0,5500,0,4085,500,0,0,5985,0,0,0,0
https://dsld.od.nih.gov/label/241749,241749,DY Nutrition,Blood & Guts Pear-Kiwi,0,13,0,5500,0,4085,500,0,0,5985,0,0,0,0
https://dsld.od.nih.gov/label/241752,241752,DY Nutrition,Blood & Guts Watermelon,0,13,0,5500,0,4085,500,0,0,5985,0,0,0,0
https://dsld.od.nih.gov/label/337959,337959,Anabolic Warfare,DEFCON3 Mid-Stim Ballistic Berry Lemonade,0,200,5000,5000,500,0,0,0,5000,9000,0,1000,200,0
https://dsld.od.nih.gov/label/255119,255119,ALLMAX,Impact Igniter Fruit Punch,40,400,0,4800,0,0,0,1500,0,9000,0,0,0,0
https://dsld.od.nih.gov/label/264094,264094,ALLMAX,Impact Igniter Pineapple Mango,40,400,0,4800,0,0,0,1500,0,9000,0,0,0,0
https://dsld.od.nih.gov/label/320904,320904,Core Nutritionals,FURY Fun Sweets Cotton Candy Cherry Berry,0,250,0,4800,0,11000,3000,3000,3750,0,0,0,0,0
https://dsld.od.nih.gov/label/270245,270245,FS Fitness Stacks,Pre Stack Extreme Orange Mango,0,0,0,4400,0,0,0,0,0,8000,0,0,0,0.3
https://dsld.od.nih.gov/label/228573,228573,Alpha Lion,Superhuman Godzilla Juice Candy Apple,0,275,0,4000,350,0,0,1000,2000,7000,0,750,100,0
https://dsld.od.nih.gov/label/248861,248861,DAS Labs,Bucked Up Pre-Workout Grape Gainz,0,200,0,4000,0,0,0,100,0,6000,0,0,0,0
https://dsld.od.nih.gov/label/249741,249741,Transparent Labs,Preseries Bulk Blue Raspberry,0,180,0,4000,360,0,1000,1300,2500,6000,0,0,50,0
